"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"HOTAIRM1",2.16331346768459e-21,0.330628506677458,0.101,0.078,7.22914461496158e-17
"CASP4",3.24759068379667e-21,0.359287955386973,0.365,0.369,1.08524737880433e-16
"ACAP2",3.52500654738716e-21,0.369592374341153,0.303,0.293,1.17795143794037e-16
"RBM47",7.68195170710509e-21,0.43102090337844,0.265,0.254,2.56707780196331e-16
"PACS1",8.53541185541531e-21,0.338071521877728,0.262,0.245,2.85227857972413e-16
"NFE2",6.79844873224084e-20,0.398676817473117,0.154,0.134,2.27183761285292e-15
"RAB7A",1.32973330580864e-19,0.257020185997372,0.511,0.551,4.44356978802074e-15
"CYB5R4",1.490858398238e-19,0.392426014852514,0.163,0.143,4.98200150939191e-15
"AL049634.2",3.50247683554509e-19,0.351732528304961,0.104,0.083,1.1704226841341e-14
"CDK19",3.08418809582746e-18,0.34916497230026,0.121,0.1,1.03064313598266e-13
"UBE2D1",4.93984578708814e-18,0.403332670723254,0.235,0.224,1.65074826667124e-13
"LAMP2",1.04092587257143e-17,0.431966396667044,0.289,0.291,3.47846198837194e-13
"PPM1F",1.23763379355044e-17,0.319562112090125,0.104,0.084,4.13580084790752e-13
"STAT3",5.89009701562334e-17,0.354778086072741,0.326,0.331,1.96829371971085e-12
"CTBS",6.17310255475642e-17,0.366479996755778,0.164,0.146,2.06286568072295e-12
"OSBPL8",7.96241459961819e-17,0.345623208449678,0.365,0.374,2.66080008675441e-12
"KDM4B",1.46433549047802e-16,0.31044160832755,0.115,0.095,4.8933699085304e-12
"LCP2",2.15686385059212e-16,0.28659047166218,0.345,0.345,7.2075919295237e-12
"ADM",3.67917210367565e-16,0.448924859878318,0.195,0.179,1.22946894188529e-11
"AHCTF1",5.71032130692274e-16,0.266029155589902,0.103,0.083,1.90821807113437e-11
"EPS15L1",7.75282641157505e-16,0.298496079215856,0.114,0.095,2.59076200195603e-11
"HSDL2",1.12665331836428e-15,0.357517131965193,0.129,0.11,3.76493739397792e-11
"SPAG9",1.642070523897e-15,0.326568452725762,0.131,0.112,5.48730706970661e-11
"ACOX1",1.93444798124741e-15,0.337000304341661,0.102,0.084,6.46434481893448e-11
"IL17RA",4.93144904898747e-15,0.30784815355553,0.393,0.408,1.64794232870014e-10
"TLE3",7.7484579963697e-15,0.407261579563433,0.242,0.237,2.58930220864686e-10
"GAPT",9.07131790075807e-15,0.265620154331986,0.125,0.106,3.03136230289632e-10
"PITPNA",1.09207620146894e-14,0.327914123294669,0.168,0.15,3.64939104244875e-10
